label,scenario,n_cells,n_genes,matrix_kind,max_neighs,n_iter,dt,thresh,n_jobs,repeats,status,reason,seconds_min,seconds_median,seconds_mean,seconds_per_gene
feat,dense_10k_256g,10045,256,dense,6,30000,0.001,1e-08,1,1,completed,,48.55276020799647,48.55276020799647,48.55276020799647,0.18965921956248621
feat,dense_10k_256g,10045,256,dense,6,30000,0.001,1e-08,2,1,completed,,27.09594087500591,27.09594087500591,27.09594087500591,0.10584351904299183
feat,dense_10k_256g,10045,256,dense,6,30000,0.001,1e-08,8,1,completed,,15.932089541980531,15.932089541980531,15.932089541980531,0.06223472477336145
feat,dense_5k_256g,5047,256,dense,6,30000,0.001,1e-08,1,1,completed,,34.55063104099827,34.55063104099827,34.55063104099827,0.1349634025038995
feat,dense_5k_256g,5047,256,dense,6,30000,0.001,1e-08,2,1,completed,,18.84921591699822,18.84921591699822,18.84921591699822,0.07362974967577429
feat,dense_5k_256g,5047,256,dense,6,30000,0.001,1e-08,8,1,completed,,10.708883875020547,10.708883875020547,10.708883875020547,0.04183157763679901
feat,sparse_10k_256g,10045,256,sparse,6,30000,0.001,1e-08,1,1,completed,,56.7413019160158,56.7413019160158,56.7413019160158,0.22164571060943672
feat,sparse_10k_256g,10045,256,sparse,6,30000,0.001,1e-08,2,1,completed,,29.131930292001925,29.131930292001925,29.131930292001925,0.11379660270313252
feat,sparse_10k_256g,10045,256,sparse,6,30000,0.001,1e-08,8,1,completed,,18.825806374981767,18.825806374981767,18.825806374981767,0.07353830615227253
feat,sparse_5k_256g,5047,256,sparse,6,30000,0.001,1e-08,1,1,completed,,37.36765875000856,37.36765875000856,37.36765875000856,0.14596741699222093
feat,sparse_5k_256g,5047,256,sparse,6,30000,0.001,1e-08,2,1,completed,,27.184191624983214,27.184191624983214,27.184191624983214,0.10618824853509068
feat,sparse_5k_256g,5047,256,sparse,6,30000,0.001,1e-08,8,1,completed,,11.83113708399469,11.83113708399469,11.83113708399469,0.04621537923435426
